lat,lon,individual,date
-16.9826436,-57.3824022,Alice,"2015-01-03 12:00:54"
-16.8764333,-57.4253306,Dale,"2015-01-03 13:00:13"
-16.8647364,-57.3934783,Caiman,"2015-01-03 13:00:14"
-16.9247361,-57.3923319,Picole,"2015-01-03 13:00:17"
-16.9077808,-57.4844389,Anderson,"2015-01-03 13:00:19"
-16.9825569,-57.3823136,Alice,"2015-01-03 13:00:30"
-16.8948433,-57.4060428,Fera,"2015-01-03 13:00:48"
-16.8647142,-57.3935086,Caiman,"2015-01-03 14:00:06"
-16.8948372,-57.4060653,Fera,"2015-01-03 14:00:11"
-16.9247164,-57.3922958,Picole,"2015-01-03 14:00:15"
-16.9076425,-57.4845478,Anderson,"2015-01-03 14:00:15"
-16.9826556,-57.3823167,Alice,"2015-01-03 14:00:20"
-16.8765047,-57.4253797,Dale,"2015-01-03 14:01:35"
-16.8947778,-57.4060931,Fera,"2015-01-03 15:00:13"
-16.8765008,-57.4254244,Dale,"2015-01-03 15:00:18"
-16.8647144,-57.3935425,Caiman,"2015-01-03 15:00:29"
-16.9078367,-57.4845647,Anderson,"2015-01-03 15:00:48"
-16.9246989,-57.3922958,Picole,"2015-01-03 15:00:54"
-16.9827192,-57.3821286,Alice,"2015-01-03 15:01:01"
-16.8648944,-57.3943161,Caiman,"2015-01-03 16:00:15"
-16.8765386,-57.4253861,Dale,"2015-01-03 16:00:20"
-16.8948806,-57.4060789,Fera,"2015-01-03 16:00:21"
-16.9246986,-57.3922889,Picole,"2015-01-03 16:00:22"
-16.9076703,-57.4846989,Anderson,"2015-01-03 16:00:26"
-16.9247281,-57.3923256,Picole,"2015-01-03 16:01:15"
-16.9827508,-57.3820992,Alice,"2015-01-03 16:02:37"
-16.9827833,-57.3821108,Alice,"2015-01-03 17:00:09"
-16.8765181,-57.4254175,Dale,"2015-01-03 17:00:18"
-16.8643606,-57.4004933,Caiman,"2015-01-03 17:00:24"
-16.9077206,-57.4845211,Anderson,"2015-01-03 17:00:58"
-16.8948439,-57.40605,Fera,"2015-01-03 17:01:06"
-16.8765097,-57.4253294,Dale,"2015-01-03 18:00:11"
-16.8948781,-57.4061178,Fera,"2015-01-03 18:00:11"
-16.9078356,-57.4845161,Anderson,"2015-01-03 18:00:12"
-16.8731975,-57.4112428,Caiman,"2015-01-03 18:00:14"
-16.894845,-57.4061392,Fera,"2015-01-03 19:00:30"
-16.9827175,-57.3821406,Alice,"2015-01-03 19:00:30"
-16.8764408,-57.4251733,Dale,"2015-01-03 19:00:42"
-16.8764406,-57.4252208,Dale,"2015-01-03 20:00:08"
-16.8948803,-57.4060581,Fera,"2015-01-03 20:00:27"
-16.9827247,-57.3820853,Alice,"2015-01-03 20:00:54"
-16.924945,-57.3920814,Picole,"2015-01-03 20:01:30"
-16.876385,-57.4252317,Dale,"2015-01-03 21:00:01"
-16.9827425,-57.3820925,Alice,"2015-01-03 21:00:09"
-16.8948486,-57.4061283,Fera,"2015-01-03 21:00:29"
-16.8948572,-57.4061556,Fera,"2015-01-03 22:00:20"
